Site,Species,Habitat,Abundance
SUBLIFE,Aphotopontius_acanthinus,PW_2023,0
SUBLIFE,Aphotopontius_arcuatus,PW_2023,0
SUBLIFE,Aphotopontius_flexispina,PW_2023,0
SUBLIFE,Aphotopontius_hydronauticus ,PW_2023,0
SUBLIFE,Aphotopontius_limatulus,PW_2023,0
SUBLIFE,Aphotopontius_mammilatus,PW_2023,0
SUBLIFE,Aphotopontius_probolus,PW_2023,0
SUBLIFE,Benthoxynus_tumidiseta,PW_2023,0
SUBLIFE,Ceuthocetes_introversus,PW_2023,0
SUBLIFE,Ceuthoecetes_acanthotrix,PW_2023,1.25
SUBLIFE,Ceuthoecetes_aliger,PW_2023,0
SUBLIFE,Ceuthoecetes_Nilva_juvenile,PW_2023,0
SUBLIFE,copepodites,PW_2023,0
SUBLIFE,Dirivultidae_juvenile,PW_2023,0
SUBLIFE,Ecbathyrion_prolixicauda,PW_2023,0
SUBLIFE,Nilva_torifera,PW_2023,0.5
SUBLIFE,Rhogobius_sp,PW_2023,0
SUBLIFE,Scotoecetes_introrsus,PW_2023,0
SUBLIFE,Stygiopontius_appositus,PW_2023,5.25
SUBLIFE,Stygiopontius_flexus,PW_2023,0
SUBLIFE,Stygiopontius_hispidulus,PW_2023,92.42
SUBLIFE,Stygiopontius_mucroniferus,PW_2023,0
SUBLIFE,Stygiopontius_paxillifer ,PW_2023,0
SUBLIFE,Stygiopontius_sentifer,PW_2023,0.58
SUBLIFE,Stygiopontius_stabilitus,PW_2023,0
SUBLIFE,Aphotopontius_acanthinus,TM_2023,2.03
SUBLIFE,Aphotopontius_arcuatus,TM_2023,0.68
SUBLIFE,Aphotopontius_flexispina,TM_2023,0
SUBLIFE,Aphotopontius_hydronauticus ,TM_2023,0
SUBLIFE,Aphotopontius_limatulus,TM_2023,0.66
SUBLIFE,Aphotopontius_mammilatus,TM_2023,32.81
SUBLIFE,Aphotopontius_probolus,TM_2023,0
SUBLIFE,Benthoxynus_tumidiseta,TM_2023,0
SUBLIFE,Ceuthocetes_introversus,TM_2023,0
SUBLIFE,Ceuthoecetes_acanthotrix,TM_2023,36.98
SUBLIFE,Ceuthoecetes_aliger,TM_2023,0
SUBLIFE,Ceuthoecetes_Nilva_juvenile,TM_2023,0
SUBLIFE,copepodites,TM_2023,2.25
SUBLIFE,Dirivultidae_juvenile,TM_2023,0
SUBLIFE,Ecbathyrion_prolixicauda,TM_2023,0
SUBLIFE,Nilva_torifera,TM_2023,6.31
SUBLIFE,Rhogobius_sp,TM_2023,5.41
SUBLIFE,Scotoecetes_introrsus,TM_2023,1.69
SUBLIFE,Stygiopontius_appositus,TM_2023,0
SUBLIFE,Stygiopontius_flexus,TM_2023,0
SUBLIFE,Stygiopontius_hispidulus,TM_2023,11.27
SUBLIFE,Stygiopontius_mucroniferus,TM_2023,0
SUBLIFE,Stygiopontius_paxillifer ,TM_2023,0
SUBLIFE,Stygiopontius_sentifer,TM_2023,0
SUBLIFE,Stygiopontius_stabilitus,TM_2023,0
Michel's Vent,Aphotopontius_acanthinus,PW_pre,0
Michel's Vent,Aphotopontius_arcuatus,PW_pre,0
Michel's Vent,Aphotopontius_flexispina,PW_pre,0
Michel's Vent,Aphotopontius_hydronauticus ,PW_pre,0
Michel's Vent,Aphotopontius_limatulus,PW_pre,0
Michel's Vent,Aphotopontius_mammilatus,PW_pre,0
Michel's Vent,Aphotopontius_probolus,PW_pre,0
Michel's Vent,Benthoxynus_tumidiseta,PW_pre,0
Michel's Vent,Ceuthocetes_introversus,PW_pre,0
Michel's Vent,Ceuthoecetes_acanthotrix,PW_pre,0
Michel's Vent,Ceuthoecetes_aliger,PW_pre,0
Michel's Vent,Ceuthoecetes_Nilva_juvenile,PW_pre,0
Michel's Vent,copepodites,PW_pre,0
Michel's Vent,Dirivultidae_juvenile,PW_pre,0
Michel's Vent,Ecbathyrion_prolixicauda,PW_pre,0
Michel's Vent,Nilva_torifera,PW_pre,0
Michel's Vent,Rhogobius_sp,PW_pre,0
Michel's Vent,Scotoecetes_introrsus,PW_pre,0
Michel's Vent,Stygiopontius_appositus,PW_pre,0
Michel's Vent,Stygiopontius_flexus,PW_pre,0.33
Michel's Vent,Stygiopontius_hispidulus,PW_pre,99.02
Michel's Vent,Stygiopontius_mucroniferus,PW_pre,0
Michel's Vent,Stygiopontius_paxillifer ,PW_pre,0
Michel's Vent,Stygiopontius_sentifer,PW_pre,0.66
Michel's Vent,Stygiopontius_stabilitus,PW_pre,0
Alvinella Pillar,Aphotopontius_acanthinus,PW_pre,0
Alvinella Pillar,Aphotopontius_arcuatus,PW_pre,0
Alvinella Pillar,Aphotopontius_flexispina,PW_pre,0
Alvinella Pillar,Aphotopontius_hydronauticus ,PW_pre,0
Alvinella Pillar,Aphotopontius_limatulus,PW_pre,0
Alvinella Pillar,Aphotopontius_mammilatus,PW_pre,0
Alvinella Pillar,Aphotopontius_probolus,PW_pre,0
Alvinella Pillar,Benthoxynus_tumidiseta,PW_pre,0
Alvinella Pillar,Ceuthocetes_introversus,PW_pre,0
Alvinella Pillar,Ceuthoecetes_acanthotrix,PW_pre,0
Alvinella Pillar,Ceuthoecetes_aliger,PW_pre,0
Alvinella Pillar,Ceuthoecetes_Nilva_juvenile,PW_pre,0
Alvinella Pillar,copepodites,PW_pre,1.07
Alvinella Pillar,Dirivultidae_juvenile,PW_pre,0
Alvinella Pillar,Ecbathyrion_prolixicauda,PW_pre,0
Alvinella Pillar,Nilva_torifera,PW_pre,0
Alvinella Pillar,Rhogobius_sp,PW_pre,0
Alvinella Pillar,Scotoecetes_introrsus,PW_pre,0
Alvinella Pillar,Stygiopontius_appositus,PW_pre,0
Alvinella Pillar,Stygiopontius_flexus,PW_pre,0
Alvinella Pillar,Stygiopontius_hispidulus,PW_pre,88.45
Alvinella Pillar,Stygiopontius_mucroniferus,PW_pre,0
Alvinella Pillar,Stygiopontius_paxillifer ,PW_pre,6.22
Alvinella Pillar,Stygiopontius_sentifer,PW_pre,4.08
Alvinella Pillar,Stygiopontius_stabilitus,PW_pre,0.18
Bio 9 1,Aphotopontius_acanthinus,PW_pre,0
Bio 9 1,Aphotopontius_arcuatus,PW_pre,0
Bio 9 1,Aphotopontius_flexispina,PW_pre,0
Bio 9 1,Aphotopontius_hydronauticus ,PW_pre,0
